age,overall,potential,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,dribbling,physic,attacking_crossing,attacking_heading_accuracy,attacking_volleys,skill_curve,skill_long_passing,movement_agility,movement_reactions,power_shot_power,power_stamina,power_strength,power_long_shots,mentality_positioning,mentality_penalties,mentality_composure_boxcox,passing_boxcox,mentality_vision_boxcox,value_eur_boxcox,wage_eur_boxcox,skill_fk_accuracy_boxcox,defending_boxcox,mentality_aggression_boxcox,defending_marking_boxcox,mentality_interceptions_boxcox,defending_standing_tackle_boxcox,pca_0,pca_1,position1_RW position2_ LW,position1_LW,position1_LW position2_ RW,position2_ LW,position1_LW preferred_foot_Right,position1_RW preferred_foot_Left,position1_RW,position2_ LW preferred_foot_Right,position2_ ST,position1_ST preferred_foot_Right,position1_ST,position1_ST position2_NA,position2_NA preferred_foot_Right,position2_NA
23.0,86.0,92.0,2.0,3.0,4.0,2.0,95.0,81.0,86.0,70.0,83.0,72.0,85.0,83.0,64.0,86.0,81.0,87.0,78.0,70.0,78.0,84.0,71.0,2.41069717876765,3.818191724888667,2.493412906158466,34.51059535344296,11.774934868848808,1.6683403194340556,1.6306196274567961,2.977260250755801,3.4618752396127466,2.1474546562761683,2.598256772883575,4.767432292898554,1.0830637225198545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.0,84.0,90.0,3.0,5.0,5.0,2.0,93.0,79.0,87.0,57.0,84.0,43.0,76.0,82.0,76.0,89.0,78.0,83.0,69.0,52.0,78.0,78.0,75.0,2.4171166806857496,3.8277322416045183,2.479295077442482,33.33362370806015,11.774934868848808,1.6443231238591849,1.6223825722473741,2.915134377194075,3.6054656468827866,2.1665032007147063,2.562876198719709,4.659279798990996,1.071538634342379,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,83.0,89.0,1.0,5.0,3.0,1.0,77.0,82.0,81.0,74.0,67.0,79.0,84.0,77.0,58.0,78.0,83.0,83.0,76.0,78.0,76.0,84.0,66.0,2.4074082590193338,3.7038821685383696,2.4480399959475854,32.84634597876941,11.560349480773066,1.6068364540216953,1.5870200836401955,2.9854531935071913,3.120499448055245,2.007772700040432,2.4829864931545154,2.6204572949330776,2.7402166047240706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,83.0,88.0,3.0,3.0,4.0,1.0,89.0,81.0,86.0,71.0,72.0,69.0,74.0,84.0,60.0,84.0,80.0,84.0,75.0,74.0,77.0,82.0,81.0,2.4074082590193338,3.7475856781777663,2.4602764430523325,32.66716701542737,11.465124106784957,1.625880451868549,1.641810592110467,2.9517089545544004,3.408523379599576,2.216228702563403,2.7042489736752495,4.017331935149276,1.5712815783236234,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21.0,83.0,88.0,2.0,3.0,5.0,2.0,92.0,82.0,84.0,77.0,74.0,72.0,76.0,82.0,63.0,86.0,81.0,88.0,87.0,75.0,79.0,84.0,76.0,2.4040644897009384,3.7581084795692794,2.4680796845666353,32.75793452142603,11.359032842567709,1.6613185221635973,1.654930179118187,3.066527246283598,3.7099677416126773,2.216228702563403,2.717550844594457,4.1529030312306485,1.0819356813792955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,83.0,87.0,3.0,4.0,3.0,2.0,92.0,81.0,83.0,69.0,69.0,77.0,84.0,63.0,55.0,81.0,86.0,79.0,83.0,65.0,70.0,85.0,72.0,2.3901071149010584,3.6925287265801496,2.406854460075256,32.66716701542737,10.815190797070342,1.6299731250720593,1.617997928600929,2.993493431583531,3.536488086401089,2.1755155078023227,2.3312135091829096,4.612999928877839,1.5766654353700296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,83.0,87.0,3.0,3.0,4.0,2.0,81.0,80.0,84.0,62.0,82.0,57.0,79.0,83.0,81.0,79.0,78.0,86.0,79.0,61.0,84.0,81.0,62.0,2.420250212916985,3.8464385903140315,2.493412906158466,32.62085835558296,11.700149462881665,1.6613185221635973,1.6486024917801954,2.8198228302242483,3.560064316576236,2.237728156165738,2.743019296624534,3.2344298076981834,1.9589939608251312,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,82.0,89.0,1.0,3.0,3.0,2.0,75.0,82.0,83.0,61.0,82.0,44.0,64.0,69.0,73.0,77.0,81.0,80.0,78.0,57.0,81.0,80.0,76.0,2.3751275013795037,3.818191724888667,2.482910643351625,32.32888267112655,10.264765045415363,1.6547780318037075,1.6344951701995893,2.895641653318523,3.8556259819623597,2.0926387391240224,2.598256772883575,2.8338203447831183,3.2098969377914486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,82.0,88.0,1.0,4.0,4.0,1.0,91.0,77.0,84.0,64.0,77.0,57.0,75.0,78.0,66.0,86.0,80.0,79.0,76.0,59.0,79.0,80.0,71.0,2.3936873687713716,3.7787018383804853,2.4756192791028773,32.27767154728932,10.745554085444935,1.6649324387364342,1.6086294288637202,2.9517089545544004,3.669593204826089,1.972769276095106,2.5042506987122697,3.9032918101920933,0.5548226248869284,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,82.0,88.0,2.0,3.0,4.0,2.0,85.0,80.0,86.0,71.0,66.0,75.0,72.0,76.0,66.0,90.0,85.0,78.0,83.0,63.0,73.0,86.0,78.0,2.413932817610263,3.7475856781777663,2.4756192791028773,32.32888267112655,11.465124106784957,1.625880451868549,1.6344951701995893,3.066527246283598,3.8213411281015497,2.126879785311894,2.4129304840341366,3.5980201165700745,1.9497037004156235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
